MODEL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,,
Nissan LEAF,1252,1425,2507,2088,3117,2347,3019,3186,2881,2589,2687,3102,30200,30200,0
Chevrolet Volt,918,1210,1478,1548,1684,1777,2020,2511,1394,1439,1336,1490,18805,18805,0
Tesla Model S,800,1089,1300,1100,1000,1500,800,600,2500,1300,1200,3500,16689,16689,0
Toyota Prius PHV,803,1041,1452,1741,2692,1571,1371,818,353,479,451,492,13264,13264,0
Ford Fusion Energi,533,779,899,743,1342,1939,1226,1222,640,686,752,789,11550,11550,0
Ford C-Max Energi,471,552,610,525,782,988,831,1050,677,644,644,659,8433,8433,0
BMW i3,0,0,0,0,336,358,363,1025,1022,1159,816,1013,6092,6092,0
Fiat 500e,310,336,644,442,476,636,528,535,518,217,211,279,5132,5132,0
smart ED,97,122,186,203,206,278,298,208,182,150,313,351,2594,2594,0
Ford Focus Electric,100,129,177,116,177,197,198,264,176,186,191,53,1964,1964,0
Cadillac ELR,41,58,81,61,52,97,188,196,111,152,155,118,1310,1310,0
Toyota RAV4 EV,63,101,73,69,149,91,68,228,125,97,83,37,1184,1184,0
Chevrolet Spark EV,93,71,108,97,182,85,128,80,51,58,61,131,1145,1145,0
Porsche Panamera S-E,141,57,56,63,53,111,63,68,82,97,57,31,879,879,0
Mercedes B-Class ED,0,0,0,0,0,0,41,51,65,98,193,326,774,774,0
BMW i8,0,0,0,0,0,0,0,9,58,204,126,158,555,555,0
Honda Accord PHV,27,24,18,37,46,28,41,46,42,34,43,63,449,449,0
Honda Fit EV,30,33,37,50,33,38,42,55,29,23,5,32,407,407,0
Kia Soul EV,0,0,0,0,0,0,0,0,0,109,140,110,359,359,0
VW e-Golf,0,0,0,0,0,0,0,0,0,1,119,237,357,357,0
Mitsubishi i-MiEV,1,3,24,12,35,22,17,20,15,17,18,12,196,196,0
Porsche Cayenne S-E,0,0,0,0,0,0,0,0,0,0,45,55,100,100,0
